,Name,Online_order,Book_table,Rate,Votes,Dish_liked,Approx_cost(for two people)
1414,Meaza Ginger Multi Cuisine Restaurant,1,No,3.6 out of 5,91,"Biryani, Chicken Curry, Kerala Parotta, Appam, Chicken Grill",550
1415,Mamma Mexicana,1,Yes,2.2 out of 5,406,"Nachos, Pizza, Margarita, Mushroom Soup, Tacos, Tortilla Soup, Chicken Burritos","1,000"
1416,Chutney Chang,1,Yes,4.2 out of 5,4732,"Chaat, Chocolate Wonton, Apple Pie, Raj Kachori, Caramel Custard, Momos, Chicken Curry","1,500"
1417,Amritsari Kulcha Bite,1,No,3.9 out of 5,101,"Lassi, Amritsari Kulcha, Chole",150
1418,Gobble Up Churros Cafe,1,No,3.8 out of 5,37,"Churros, Empanadas",400
1419,Tempura Restaurant,0,No,3.9 out of 5,122,"Chicken Manchurian, Thukpa, Chicken Momo, Veg Momos, Tea, Veg Thupka",500
1420,Red Onion,1,Yes,4.3 out of 5,550,"Fish, Dumplings, Biryani, Paneer Tikka Masala, Manchow Soup, Chicken Wings, Chop Suey","1,200"
1421,Shalimar,1,No,4.0 out of 5,153,"Sea Food, Murgh Ghee Roast, Masala Peanuts, Beer, Roti",700
1422,Deshi Fusion Pizza,1,No,3.3 out of 5,73,Pizza,750
1423,Oh! Calcutta,1,Yes,4.4 out of 5,1110,"Fish, Curry Crab, Mocktails, Luchi, Kosha Mangsho, Sea Food, Daab Chingri","1,200"
1424,Aagaman Veg,1,No,4.0 out of 5,558,"Jalebi, Lunch Buffet, Dal Kichadi, Panneer Butter Masala, Crispy Corn, Dal Makhani, Gulab Jamun",900
1425,Salt Mango Tree,1,Yes,4.1 out of 5,247,"Kerala Parotta, Appam, Buttermilk, Biryani, Chicken Fry, Beef Fry, Fish Curry",800
1426,MISU,1,Yes,4.6 out of 5,1211,"Sushi, Dumplings, Khau Suey, Noodles, Cocktails, Virgin Mojito, Drunken Beef","1,700"
1427,Urban Solace - CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© for the Soul,1,No,3.9 out of 5,463,"Chocolate Shake, Wine, Burgers, Sangria, Paratha, Pasta, Fish",800
1428,RockSalt,1,Yes,4.4 out of 5,484,"Roti, Cocktails, Chicken Biryani, Paratha, Dahi Ke Kabab, Jalebi, Chicken Tikka","1,900"
1429,The Rice Bowl,1,Yes,4.3 out of 5,500,"Rice Bowl, Lamb, Chocolava, Rolls, Paneer Manchurian, Momos, Singapore Chicken","1,300"
1430,The Tao Terraces,1,Yes,4.0 out of 5,1912,"Salads, Cocktails, Khao Suey, Jumbo Prawns, Veg Sushi, Espresso Martini, Tom Yum Soup","2,100"
1431,Shezan,1,No,4.1 out of 5,391,"Mudpie, Butter Naan, Mutton Biryani, Kulfi, Steak, Sweet Corn Soup, Beef Chilli",600
1432,Oye Amritsar,1,Yes,4.1 out of 5,450,"Lassi, Aloo Paratha, Jalebi, Palak Paneer, Cheese Naan","1,000"
1433,Tandoor,1,Yes,3.9 out of 5,1361,"Mutton Biryani, Dal Makhani, Chicken Malai Tikka, Paneer Makhani, Faluda, Jal-jeera, Cocktails","2,100"
1434,Feast India Co.,1,No,4.2 out of 5,133,"Naan, Phirni, Sheermal, Rasmalai, Chicken Tikka, Paneer Tikka, Galauti Kebab","1,500"
1435,Hotel Green Tara,0,No,3.9 out of 5,39,Momos,500
1436,The Biere Club,1,Yes,4.3 out of 5,3484,"Wheat Beer, Pizza, Cocktails, Virgin Sangria, Pork Chops, Craft Beer, Meatballs","1,700"
1437,Bangalore Mandarin,1,No,4.2 out of 5,974,"Lime Soda, Crispy Chicken, Kung Pao Chicken, Hakka Noodles, Veg Manchow Soup, Clear Soup, Singapore Noodles","1,100"
1438,Mahesh Lunch Home,1,Yes,4.1 out of 5,860,"Sea Food, Neer Dosa, Crab Ghee Roast, Jumbo Prawns, Thali, Crab Butter, Crab Masala","1,400"
1439,Bheema's,1,No,4.0 out of 5,779,"Thali, Mutton Biryani, Mutton Fry, Chilli Chicken, Chicken Biryani, Andhra Meal, Vegetable Biryani",650
1440,Hatti Punjab Di,0,No,3.4 out of 5,8,"Tandoori Chicken, Butter Chicken, Garlic Naan",450
1441,Chung Wah,1,No,4.0 out of 5,360,"Jasmine Tea, Spring Roll, Golden Fried Prawns, Hakka Noodles, Hunan Chicken Gravy, Drunken Chicken Wings, Dragon Rolls","1,000"
1442,Danny Lambas Punjabi Dhaba,1,No,3.5 out of 5,98,"Tandoori Chicken, Paneer Makhani, Mutton Roganjosh, Paratha, Aloo Jeera, Butter Chicken",600
1443,The Charcoal Factory,1,No,4.1 out of 5,290,"Burgers, Cheesy Pizza, Chips, Fries, Rice Bowl, White Sauce Pasta, Chicken Wings",600
1444,Chung's Chinese Corner,1,No,3.3 out of 5,201,"Noodles, Honey Chilli Chicken, Crispy Chilli Chicken",700
1445,Fat Buddha,1,Yes,4.0 out of 5,455,"Crab Soup, Noodles, Wine, Spicy Crabmeat Soup, Manchow Soup, Momos, Sea Food","1,000"
1446,Teppan Japanese Grill & Sushi Bar,1,No,4.3 out of 5,901,"Maki Roll, Jumbo Prawns, Fish, Rolls, Sashimi, Miso Soup, Maki Sushi","2,000"
1447,New Prashanth Hotel,1,No,3.7 out of 5,50,"Biryani, Ragi Mudde, Chicken Curry",750
1448,The Only Place,1,Yes,4.2 out of 5,2923,"Steak, Burgers, Meatballs, Apple Pie, Salads, Bruschettas, Chicken Sizzler","1,000"
1449,Anupam's Coast II Coast,1,Yes,4.1 out of 5,853,"Murgh Ghee Roast, Sea Food, Neer Dosa, Fish, Prawn Ghee Roast, Appam, Ghee Roast Paneer","1,400"
1450,BabaYaga's,1,Yes,4.1 out of 5,207,"Cocktails, Masala Fries, Chicken Wings, Beer, Onion Rings, Pizza, Nachos","1,500"
1451,Kudla - Hotel Ramanashree,1,Yes,4.1 out of 5,354,"Neer Dosa, Fish, Murgh Ghee Roast, Appam, Chicken Sukha, Crab Masala, Chicken Biryani","1,200"
1452,Ramana's,1,Yes,4.0 out of 5,378,"Palak Soup, Mushroom Masala, Dal Makhani, Kebab Platter, Jal-jeera, Mushroom Soup, Roti",850
1453,The Konkan - Seafood Restaurant,1,Yes,4.4 out of 5,218,"Sea Food, Murgh Ghee Roast, Mocktails, Stuffed Pomfret, Sol Kadhi, Kokum Juice, Coconut Rice",850
1454,Hotel Tom's Restaurant,1,Yes,4.4 out of 5,712,"Appam, Sea Food, Fry Prawns, Dal Fry, Chicken Curry, Fish, Murgh Ghee Roast","1,000"
1455,Fujan,1,No,3.6 out of 5,54,Chicken Noodle,600
1456,Raaga,1,Yes,3.8 out of 5,297,"Panner Tikka, Gajar Ka Halwa, Chicken Biryani, Thali, Lunch Buffet, Raita, Tandoori Aloo","1,200"
1457,The Food Dude,1,No,4.0 out of 5,176,"Pizza, Burgers, Pasta, Chilli Paneer",300
1458,Lazio Steaks & More,1,No,3.9 out of 5,118,"Burgers, Beef Steak, Mutton Biryani, Pie, Mudpie, Cheesecake, Chicken Wings","1,000"
1459,The Humming Tree,1,No,4.0 out of 5,2418,"Sangria, Chicken Salad, Sandwiches, Cocktails, Pizza, Gnocchi, Chicken Satay","1,400"
1460,Woodstok,1,Yes,4.1 out of 5,1053,"Buffalo Chicken Wings, Chips, Peri Peri Prawn, Cocktails, Mocktails, Pizza, Mushroom Soup","1,400"
1461,ASEAN - On The Edge,1,Yes,4.4 out of 5,861,"Cocktails, Khao Suey, Mocktails, Salad, Malacca Curry, Beer, Beef Pho","1,800"
1462,Friends Night Kitchen,1,No,3.8 out of 5,109,"Pizza, Burgers, Cheese Burger, Garlic Bread",400
1463,Retro Lounge Bar,0,Yes,3.8 out of 5,108,"Pepper Prawns, Fries, Chicken Biryani","1,400"
1464,Kick Out the Jams,1,No,4.0 out of 5,528,"Burgers, Pizza, Bacon Burger, Wings, Cheesecake, Chicken Burger, Pepperoni",350
1465,Xian,1,Yes,3.8 out of 5,81,Noodles,800
1466,Mummy Dhaba,1,No,3.2 out of 5,46,Dal Makhani,300
1467,Benjarong,1,No,4.2 out of 5,858,"Tom Yum Soup, Cocktails, Jasmine Rice, Clear Soup, Sea Food, Pad Thai, Lemongrass Tea","1,800"
1468,Midnight Hunger Solutions 24/7,1,No,2.1 out of 5,252,"Mutton Biryani, Chilli Paneer, Chicken Biryani",500
1469,Ente Keralam,1,No,4.0 out of 5,1096,"Appam, Fish, Mutton Stew, Cocktails, Egg Roast, Prawn Curry, Chicken Stew","1,300"
1470,Nagarjuna,0,No,4.3 out of 5,1773,"Mutton Biryani, Chicken Biryani, Hyderabadi Biryani, Andhra Biryani, Mutton Keema Balls, Thali, Raita",800
1471,Sunny's,0,Yes,4.1 out of 5,1327,"Penne Pasta, Pizza, Cocktails, Salads, Risotto, Sea Food, Crab Cake","2,100"
1472,Little Chef,0,No,4.0 out of 5,101,"Dragon Chicken, Hunan Chicken",550
1473,Gundappa Donne Biryani,0,No,3.7 out of 5,160,"Mutton Biryani, Chilli Chicken, Pepper Chicken, Chicken Fry, Donne Chicken Biryani, Chicken Guntur, Chicken Kebab",300
1474,Nandhini Paradise,0,Yes,3.6 out of 5,277,"Murgh Ghee Roast, Veg Thali, Chicken Chettinad, Chicken Kshatriya, Mutton Chops, Hyderabadi Biryani, Roti",800
1475,Nagashree's,0,No,2.9 out of 5,46,"Biryani, Mutton Chops",550
1476,Kamat's Palate Korner,0,No,4.1 out of 5,121,"Butter Chicken, Jeera Rice, Dal Makhani, Butter Naan, Tandoori Chicken, Rumali Roti, Panneer Butter Masala",600
1477,In Wok,1,No,3.6 out of 5,118,"Chicken Lollipop, Crispy Spinach Chicken",500
1478,Aromas Of South,1,No,3.7 out of 5,46,"Appam, Coffee","1,000"
1479,Manjit Da Dhaba,1,No,4.3 out of 5,783,"Lassi, Shahi Paneer, Kheer, Paneer Bhurji, Methi Paratha, Paneer Parantha, Stuffed Paratha",300
1480,Taj Hotel,1,No,3.7 out of 5,111,"Ghee Rice, Mutton Biryani, Seekh Kebab, Paratha, Tandoori Chicken, Kalmi Kebab",550
1481,Foody's,1,No,3.8 out of 5,170,"Paratha, Chaat, Masala Dosa, Pav Bhaji, Tea, Kulcha, Filter Coffee",250
1482,Masala Oota,1,No,3.6 out of 5,79,"Donne Chicken Biryani, Akki Rottis, Roti, Mutton Chops, Chicken Curry, Vada, Coffee",500
1483,Kadai Crust - Amma Veetu Samayal,1,No,3.8 out of 5,263,"Egg Pepper Fry, Egg Curry, Chicken Biryani, Jeera Rice, Ghee Rice, Chicken Kheema Dosa, Fish Fry",700
1484,Fava,0,Yes,4.4 out of 5,2039,"Gnocchi, Cocktails, Pizza, Salads, Creme Brulee, Pasta, Sangria","1,200"
1485,Amber Rush Restobar,0,Yes,4.1 out of 5,93,"Cocktails, Pizza, Fries, Wings, Mango Phirni, Fish Grill","1,000"
1486,Bootlegger,0,No,4.1 out of 5,1543,"Beer, Cocktails, Beef Steak, Beef Chilli, Nachos, Pasta, Pizza","1,200"
1487,ThrowBack - Pub & Dine,0,No,3.9 out of 5,234,"Cocktails, Pizza, French Fries","1,000"
1488,Shaken & Stirred,1,No,3.9 out of 5,84,"Seekh Kebab, Paneer Tikka, Beer, Fish Tikka, Kala Jamun, Biryani, Long Island Iced Tea","1,500"
1489,Hyderabad Biryaani House,0,No,4.3 out of 5,1348,"Hyderabadi Biryani, Haleem, Chicken Biryani, Andhra Biryani, Mutton Biryani, Ghee Rice, Butter Chicken",550
1490,The Bangalore Cafe,0,Yes,4.1 out of 5,473,"Pasta, Coffee, Chaat, Paneer Pizza, Tawa Pulav, Aloo Biryani, Paratha",800
1491,Truffles,0,No,4.5 out of 5,3569,"Burgers, Pasta, Mocktails, Cheese Burger, Ferrero Rocher Milkshake, Peri Chicken, Chicken Paprika",900
1492,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,1,Yes,4.4 out of 5,691,"Burgers, Sandwiches, Peanut Butter Smoothie, Margherita Pizza, Ravioli, Cocktails, Salad","1,700"
1493,Sakae Japanese Restaurant,0,Yes,4.3 out of 5,518,"Sushi, Miso Soup, Steak, Tea, Ramen, Rolls, Tempura","1,400"
1494,Green Onion,0,No,4.3 out of 5,1187,"Noodles, Coriander Soup, Chicken Lollipop, Honey Potato, Momos, Schezwan Fried Rice, Chicken Drumstick",550
1495,Art of Delight,0,No,4.4 out of 5,1896,"Waffles, Chocolate Sundae, Mango Ice Cream, Nutella Cheesecake, Salsa, Banana Split, Hot Chocolate Fudge",400
1496,Cafe Kaara,0,No,4.2 out of 5,162,"Coffee, Cappuccino, Sandwich, Tiramisu, Hot Chocolate, Fries, Pesto Pasta",750
1497,Khazana Food Paradise,0,No,4.1 out of 5,356,"Beef Biryani, Chicken Biryani, Chicken Kebab, Mutton Biryani, Beef Kabab, Paratha, Ghee Rice",400
1498,Little Green Cafe,0,No,4.3 out of 5,788,"Spaghetti, Mezze Platter, Bombay Sandwich, Tomato Ragout, Mushroom Sandwich, Thai Green Curry, Tea",900
1499,Mandarin Box,0,No,3.9 out of 5,80,"Momos, Noodles, Chop Suey",500
1500,Pashto,0,No,4.1 out of 5,765,"Biryani, Kulfi Faluda, Peshawari Paneer, Dal Tadka, Yakhni Shorba, Tandoori Roti, Phirni",800
1501,Somilan Steak House,0,No,4.3 out of 5,524,"Salads, Beef Steak, Pork Chops, Crispy Pork, Wine, Chicken Salad, Pork Ribs",800
1502,IceBreakers,0,No,4.3 out of 5,183,"Waffles, Ice Cream Roll, Brownie Fudge, Chocolate Icecreams",400
1503,Juice Junction,0,No,4.0 out of 5,101,"Sandwiches, Fruit Bowl, Panipuri, Corn Sandwich, Palak Paneer, Arabian Grape Juice, Cheesy Grilled Sandwich",150
1504,Konark Vegetarian Restaurant,0,No,3.9 out of 5,155,"Pav Bhaji, Chaat, Vada, Vegetarian, Masala Dosa, Idli, Brownie",600
1505,Sugarberryz Cakery,0,No,3.9 out of 5,52,"Chocolate Cake, Cup Cake","1,200"
1506,Stars 'N' Stripes,0,No,2.7 out of 5,77,"Burgers, Biryani, Cheesecake",500
1507,California Burrito,0,No,4.0 out of 5,53,"Nachos, California Burrito, Rice Bowl, Salads",400
1508,Mel's Korner,0,No,3.8 out of 5,95,"Shawarma, Burgers, Beef Burger, Potato Wedges, Vegetable Noodles, Cheese Fatayer, Garlic Fries",500
1509,Sidewalk Cafe - Nahar's Heritage Hotel,0,No,3.9 out of 5,134,"Pizza, Pasta, Waffles, Sandwich, Apple Pie, Sandwiches, Burgers",800
1510,Stir Fry,0,No,4.0 out of 5,209,"Spring Roll, Chicken Lollipop, Chaap, Momos, Lamb, Chicken Manchow Soup, Hakka Noodles",500
1511,Natural Ice Cream,0,No,4.2 out of 5,221,"Mango Ice Cream, Tender Coconut Ice Cream, Chips, Chocochip Ice Cream, Waffle Cone",150
1512,Indy's Comfort Food,0,No,4.1 out of 5,399,"Gobhi Pakoda, Bajji, Raita, Ginger Tea, Jalapeno Cheese Poppers, Mojito, Chai",300
1513,RR Catering,0,No,3.4 out of 5,10,"Garlic Naan, Tandoori Chicken, Basmati Rice",350
1514,Rescafe,0,No,3.8 out of 5,41,"Samosa, Tea",100
1515,Bhaiyaji Food Court,0,No,3.4 out of 5,27,"Paratha, Samosa, Vada Pav",300
1516,Vasudev Adiga's,0,No,3.0 out of 5,53,"Tea, Filter Coffee, Pongal, Masala Dosa",250
1517,The French Loaf,1,No,2.8 out of 5,142,"Coffee, Pasta, Sandwiches, Sunday Breakfast, Apple Pie, Hot Chocolate, Chicken Quiche",300
1518,Siddique Kabab Centre,1,No,3.9 out of 5,430,"Chicken Grill, Chicken Biryani, Rolls, Ghee Rice, Tandoori Chicken, Seekh Roll, Chicken Lollipop",550
1519,Baahubelly,1,No,3.8 out of 5,69,"Biryani, Tea, Rice, Appam",500
1520,Funjabi,1,No,3.5 out of 5,140,"Mango Lassi, Butter Chicken, Manchurian, Dehati Chicken, Paneer Lababdar, Chilli Chicken, Palak Paneer",600
1521,Ibaco,1,No,4.0 out of 5,93,Italian Wonder,300
1522,Alchemy - The Chancery Pavilion,0,Yes,4.3 out of 5,446,"Craft Beer, Stout, Cocktails, Chicken Wings, Brewed Beer, Mysore Pak, Cheesecake","2,000"
1523,The White Room - Coffee & Kitchen,0,Yes,4.0 out of 5,1703,"Mushroom Quiche, Chicken Quiche, Coffee, Chocolate Milkshake, Caramel Frappe, Espresso, Tea","1,000"
1524,Fabelle Chocolate Boutique - ITC Gardenia,0,No,4.5 out of 5,232,"Hot Chocolate, Hazelnut Ice Cream, Tiramisu, Caramel Ganache","1,250"
1525,Bhagatram Sweets,0,No,3.6 out of 5,221,"Gulab Jamun, Chaat, Jalebi, Chole, Sev Puri, Rasgulla, Masala Poori",300
1526,Corner House Ice Cream,0,No,4.5 out of 5,292,"Hot Chocolate Fudge, Chocolate Sundae, Almond Fudge, Brownie, Thick Shakes, Vanilla Ice Cream",400
1527,The Bengaluru Brasserie - Hyatt Centric MG Road,0,Yes,4.1 out of 5,117,"Cocktails, Burgers, Chicken Chunks, Crispy Chicken","2,000"
1528,Amma's Pastries,0,No,4.0 out of 5,97,"Burgers, Cheesecake",400
1529,Koshy's,0,No,3.6 out of 5,52,Plum Cake,300
1530,Sugar & Spice - Taj MG Road Bengaluru,0,No,4.0 out of 5,79,"Coffee, Chocolate Truffle, Cheesecake",800
1531,Anand Sweets and Savouries,0,No,4.0 out of 5,183,"Badam Milk, Chaat, Rasmalai, Mysore Pak, Samosa, Paneer Cutlets, Kachori",400
1532,Bowring Kulfi,0,No,4.0 out of 5,100,"Kulfi, Mango Juice, Kesar Pista, Lassi",150
1533,Smoor,1,No,4.1 out of 5,63,"Cup Cake, Pasta, Sandwich, Fries",900
1534,Drunken Monkey,1,No,4.0 out of 5,122,"Sandwiches, Chicken Sandwich, Oreo Shake, Irish Coffee Cream",400
1535,The French Loaf,1,No,2.9 out of 5,46,"Coffee, Veg Puff, Latte",400
1536,Sweet Truth,1,No,4.1 out of 5,49,"Cheesecake, Chocolate Decadence, Chocolate Fantasy, Chocolate Cake, Pancakes, Lava Cake, Chocolava Cake",500
1537,The Belgian Waffle Co.,1,No,3.7 out of 5,73,Waffles,350
1538,Ganache - The Ritz-Carlton,0,No,3.9 out of 5,49,"Coffee, Cup Cake",600
1539,Thom's Bakery,0,No,4.1 out of 5,211,"Plum Cake, Burgers, Sandwiches, Donut, Mutton Samosa, Sponge Cake, Baked Bread",200
1540,Hae Kum Gang,0,Yes,4.4 out of 5,1187,"Sushi, Kimchi, Pork Sizzler, Chicken Donburi, Shrimp Donburi, Crab Roll, Bulgogi","1,100"
1541,Arbor Brewing Company,0,Yes,4.5 out of 5,8375,"Kamikaze, Long Island Iced Tea, Pizza, Hefeweizen, Craft Beer, Cocktails, Belgian Brew Beer","2,000"
1542,The Permit Room,0,No,4.5 out of 5,1573,"Cocktails, Chicken Curry, Beer, Watermelon Mojito, Bbq Mushroom, Kokum Sharbat, Brain Fry","1,500"
1543,ShakesBierre,0,Yes,4.4 out of 5,256,"Cocktails, Mocktails, Pizza, Sweet Yogurt, Nachos, Karela Chaat, Burgers","1,500"
1544,Empire Restaurant,1,No,4.4 out of 5,2090,"Brain Fry, Chicken Manchurian, Mutton Biryani, Butter Chicken, Chicken Tikka Masala, Chilli Chicken, Shaadi Ki Biryani",750
1545,The Barn - Bar & Kitchen,0,Yes,4.2 out of 5,240,"Cocktails, Beer","1,500"
1546,Plan B,0,No,4.2 out of 5,4422,"Burgers, Beer, Veg Lasagna, Peri Peri Chicken Wings, Barbecue Wings, Sandwiches, Beef Steak","1,200"
1547,Pecos Classic,0,Yes,4.1 out of 5,548,"Fried Rice, Draught Beer, Beef Chilli, Chicken Curry, Fish Fingers, French Fries","1,100"
1548,Guzzlers Inn,0,No,4.0 out of 5,949,"Beer, Manchurian, Kabab Platter, Chips, Lager, Chilli Chicken, Sandwiches","1,100"
1549,Pizza Hut,1,No,3.9 out of 5,387,"Mocktails, Garlic Bread, Potato Wedges, Pasta, Cheesy Pizza, Fries, Paneer Pizza",750
1550,Fusion Lounge,0,No,2.0 out of 5,395,"Dance Floor, Dj","1,500"
1551,Yak's Kitchen,0,No,4.0 out of 5,162,"Noodles, Thukpa, Beef Momos, Chowmein, Veg Momos, Cheese Momos",400
1552,Saatvikk,0,No,2.8 out of 5,133,"Cheese Garlic Naan, Coffee, Corn Soup, Pasta",650
1553,Hotel Shangrila,0,No,3.7 out of 5,125,"Noodles, Pork Chops, Momos, Chicken Noodle, Mixed Fried Rice, Corn Soup, Roast Pork",600
1554,KFC,1,No,3.8 out of 5,191,"Burgers, Ginger Chicken, Virgin Mojito, Popcorn, Rice Bowl",450
1555,Taste Of Tibet,0,No,4.0 out of 5,336,"Thukpa, Vegetable Noodles, Steam Chicken Momos, Chowmein, Chicken Shaptra, Chicken Manchurian, Dumplings",300
1556,Subway,0,No,2.7 out of 5,61,Sandwich,600
1557,Burger King,1,No,3.5 out of 5,89,"Burgers, Fries, Chicken Crisp Burger",600
1558,The 13th Floor,0,Yes,4.4 out of 5,4575,"Cocktails, Lasagne, Martini, Mocktails, Mutton Pepper, Long Island Iced Tea, Mojito","1,700"
1559,Communiti,0,No,4.7 out of 5,3894,"Pizza, Cocktails, Peri Peri Chicken, Mocktails, Craft Beer, Pasta, Nachos","1,500"
1560,Skyye,0,Yes,4.2 out of 5,3116,"Cocktails, Long Island Iced Tea, Mojito, Peri Peri Chicken, Mocktails, Chicken Satay, Beer","2,500"
1561,KazÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,0,Yes,4.4 out of 5,858,"Cocktails, Sushi, Salmon, Martini, Tempura Prawns, Chicken Gyoza, Ramen","3,000"
1562,JW Kitchen - JW Marriott Bengaluru,0,Yes,4.4 out of 5,2115,"Pasta, Breakfast Buffet, Lasagne, Salads, Chocolate Cake, Chicken Soup, Seafood Salad","2,200"
1563,Yauatcha,0,Yes,4.6 out of 5,2339,"Dumplings, Noodles, Cocktails, Mocktails, Mango Mascarpone Gateau, Chocolate Hazelnut Mousse, Macaroon","2,800"
1564,Brik Oven,0,No,4.6 out of 5,2259,"Garlic Bread, Waffles, Brownie Shake, Cookie Monster Shake, Wood Fire Pizza, Big Bang Shake, Mushroom Pizza","1,100"
1565,Farzi Cafe,0,No,4.4 out of 5,2392,"Appletini, Lamb Tacos, Cocktails, Martini, Stout, Wheat Beer, Sangria","1,500"
1566,Hard Rock Cafe,0,Yes,4.5 out of 5,5262,"Burgers, Cocktails, Legendary Hrc Burger, Nachos, Sandwiches, Bloody Mary, Mocktails","2,500"
1567,Karavalli - The Gateway Hotel,0,Yes,4.5 out of 5,674,"Appam, Fish, Sea Food, Cocktails, Prawn, Thali, Paratha","3,500"
1568,Bangalore Brew Works,0,Yes,4.2 out of 5,2212,"Spaghetti, Wheat Beer, Cocktails, Risotto, Nachos, Gourmet Pizza, Draught Beer","1,700"
1569,Toast & Tonic,0,Yes,4.6 out of 5,1082,"Cocktails, Salads, Pork Ribs, Tomato Soup, Burgers, Mushroom Toast, Cheesecake","1,500"
1570,The Bar Stock Exchange,0,No,4.3 out of 5,606,"Sangria, Chole, Cocktails, Pizza, Nachos, Noodles, Fish","1,300"
1571,Caraway Kitchen - Conrad Bengaluru,0,Yes,4.3 out of 5,149,"Pasta, Pancakes, Pizza, Fish, Chaat","2,800"
1572,Samarkand,0,Yes,4.1 out of 5,2044,"Hyderabadi Biryani, Firni, Kulfi, Lassi, Mutton Biryani, Gosht Dum Biryani, Raan","1,600"
1573,Spice Terrace - JW Marriott,0,Yes,4.3 out of 5,755,"Chicken Tikka, Faluda, Raita, Tarkari Biryani, Butter Naan, Fish, Dal Makhani","3,000"
1574,Carnatic,0,Yes,4.2 out of 5,167,"Thali, Andhra Chilli Chicken, Coconut Mousse, Raita, Kothu Paratha, Appam, Tender Coconut Payasam","1,000"
1575,SkyDeck By Sherlock's,0,Yes,4.2 out of 5,1418,"Salad, Beer, Nachos, Chicken Wings, Onion Rings, Chilli Paneer, Roti","1,500"
1576,Koshy's,0,No,3.9 out of 5,2322,"Coffee, Kulfi, Beef Steak, Chocolate Shake, Sandwiches, Beer, Omelette",700
1577,Sanchez,0,No,4.3 out of 5,1028,"Nachos, Cocktails, Tacos, Prawn Taquitos, Churros, Chimichangas, Enchiladas","1,500"
1578,1Q1,0,Yes,4.3 out of 5,595,"Cocktails, Stir Fried Noodles, Cheesecake, Jasmine Rice, Kung Pao Vegetables, Veg Sushi, Salad","2,500"
1579,Harima,0,Yes,4.3 out of 5,666,"Sushi, Tuna Sashimi, Salads, Pork Rice, Ramen, Spicy Tuna Roll, Cocktails","2,000"
1580,Caperberry,0,Yes,4.6 out of 5,1423,"Salads, Martini, Tiramisu, Caviar, Ravioli, Cocktails, Wine","2,200"
1581,Toscano,1,Yes,4.4 out of 5,1867,"Pizza, Pasta, Pepperoni, Wine, Chicken Bruschetta, Salads, Tiramisu","1,500"
1582,Meghana Foods,1,No,4.3 out of 5,2177,"Chicken Boneless Biryani, Mutton Biryani, Hyderabadi Biryani, Andhra Style Biryani, Vegetable Biryani, Fry Prawns, Paneer Biryani",600
1583,Dindigul Thalappakatti,1,No,3.9 out of 5,74,"Biryani, Pepper Chicken, Raita, Buttermilk",800
1584,Truffles,0,No,4.5 out of 5,3614,"Burgers, Pasta, Cheese Burger, Potato Mash, Mocktails, Ferrero Rocher Milkshake, Peri Chicken",900
1585,Sotally Tober,0,Yes,4.4 out of 5,282,"Cocktails, Corn Fritters, Paneer Steak, Butter Chicken, Burgers, Chicken Steak, Chocolate Mousse","1,200"
1586,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,1,Yes,4.4 out of 5,737,"Burgers, Sandwiches, Salmon, Peanut Butter Smoothie, Margherita Pizza, Ravioli, Salad","1,700"
1587,Tiamo - Conrad Bengaluru,0,Yes,4.2 out of 5,149,"Ratatouille, Pizza, Tiramisu, Wild Mushroom Risotto, Pasta, Cocktails","2,500"
1588,Barbeque Nation,0,Yes,4.4 out of 5,1094,"Mutton Seekh, Paan Kulfi, Biryani, Fish, Salad, Crispy Corn, Panipuri","1,600"
1589,Hoppipola,0,No,4.3 out of 5,1773,"Masala Peanuts, Cocktails, Pasta, Paratha, Pizza, Brownie, Burgers","1,300"
1590,Mahesh Lunch Home,1,Yes,4.1 out of 5,875,"Sea Food, Neer Dosa, Crab Ghee Roast, Thali, Jumbo Crab, Crab Butter, Jumbo Prawns","1,400"
1591,Tree Tops Bar & Kitchen,0,Yes,4.4 out of 5,189,"Peri Peri Chicken Burger, Cocktails, Pasta, Brownie, Mocktails, Chicken Fingers, Jalapeno Poppers","1,000"
1592,The White Room - Coffee & Kitchen,0,Yes,4.1 out of 5,1769,"Coffee, Tea, Pasta, Pancakes, Potato Wedges, Waffles, Chicken Slider","1,000"
1593,Matteo Coffea,0,No,4.4 out of 5,2662,"Coffee, Pasta, Donut, Salads, Tiramisu Cheesecake, Sandwiches, Burgers",600
1594,Cubbon Pavilion - ITC Gardenia,0,Yes,4.3 out of 5,695,"Cocktails, Breakfast Buffet, Croissants, Lassi, Caramel Cake, Salads, Waffles","2,500"
1595,Sakae Japanese Restaurant,0,Yes,4.3 out of 5,548,"Sushi, Teriyaki Chicken, Miso Soup, Steak, Tea, Rolls, Ramen","1,400"
